,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE_x,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DELAY_OR_NOT,AIRPORT_x,CITY_x,STATE_x,LATITUDE_x,LONGITUDE_x,AIRPORT_y,CITY_y,STATE_y,LATITUDE_y,LONGITUDE_y,Percentage Delayed,Departure Delay Mean,Arrival Delay Mean,DATE
3168406,2015,9,13,7,EV,Atlantic Southeast Airlines,5425,N847AS,ATL,CRW,12:25:00,12:21:00,-4.0,17.0,12:38:00,79.0,84.0,65.0,363,13:43:00,2.0,13:44:00,13:45:00,1.0,0,0,,0.0,0.0,0.0,0.0,0.0,True,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,Yeager Airport,Charleston,WV,38.37315,-81.59319,33.119976011717355,30.210617034612437,31.051239640643498,2015-09-13
1046235,2015,11,16,1,UA,United Air Lines Inc.,1952,N76508,EWR,IAH,20:05:00,20:06:00,1.0,19.0,20:25:00,239.0,225.0,201.0,1400,22:46:00,5.0,23:04:00,22:51:00,-13.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,35.37908265534725,39.0636838304727,39.73129478420263,2015-11-16
3700165,2015,5,6,3,WN,Southwest Airlines Co.,1,N412WN,RDU,BWI,12:50:00,13:24:00,34.0,5.0,13:29:00,70.0,53.0,44.0,255,14:13:00,4.0,14:00:00,14:17:00,17.0,0,0,,0.0,0.0,4.0,13.0,0.0,True,Raleigh-Durham International Airport,Raleigh,NC,35.87764,-78.78747,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682,34.11713067469275,32.31418856827789,35.884947619922805,2015-05-06
4870142,2015,11,16,1,MQ,American Eagle Airlines Inc.,3372,N8EGMQ,XNA,LGA,17:33:00,17:26:00,-7.0,9.0,17:35:00,166.0,165.0,147.0,1147,21:02:00,9.0,21:19:00,21:11:00,-8.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,36.28187,-94.30681,LaGuardia Airport (Marine Air Terminal),New York,NY,40.77724,-73.87261,40.148658838737475,35.690904212503355,42.88462570431983,2015-11-16
5081244,2015,9,27,7,EV,Atlantic Southeast Airlines,5179,N716EV,HPN,ATL,07:20:00,07:12:00,-8.0,14.0,07:26:00,140.0,136.0,116.0,780,09:22:00,6.0,09:40:00,09:28:00,-12.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Westchester County Airport,White Plains,NY,41.06696,-73.70757,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,40.2391508800215,35.353923205342234,42.38764607679466,2015-09-27
2809341,2015,4,22,3,EV,Atlantic Southeast Airlines,6040,N15555,IAH,OKC,12:58:00,12:51:00,-7.0,14.0,13:05:00,87.0,82.0,63.0,395,14:08:00,5.0,14:25:00,14:13:00,-12.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,Will Rogers World Airport,Oklahoma City,OK,35.39309,-97.60073,40.8015168255787,30.773569136132657,32.97609654987965,2015-04-22
409358,2015,5,18,1,OO,Skywest Airlines Inc.,2785,N506CA,PHX,YUM,21:35:00,21:31:00,-4.0,17.0,21:48:00,54.0,57.0,35.0,160,22:23:00,5.0,22:29:00,22:28:00,-1.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806,Yuma International Airport,Yuma,AZ,32.65658,-114.60597,39.69076729217042,24.887578940142777,26.8585255354201,2015-05-18
1256831,2015,2,4,3,UA,United Air Lines Inc.,820,N474UA,SFO,ORD,12:00:00,12:00:00,0.0,11.0,12:11:00,260.0,235.0,211.0,1846,17:42:00,13.0,18:20:00,17:55:00,-25.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,37.954705151072915,32.84568142979208,33.873825121048135,2015-02-04
1432244,2015,8,20,4,WN,Southwest Airlines Co.,397,N927WN,BUR,SJC,18:45:00,18:43:00,-2.0,11.0,18:54:00,60.0,62.0,48.0,296,19:42:00,3.0,19:45:00,19:45:00,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,34.20062,-118.3585,Norman Y. Mineta San José International Airport,San Jose,CA,37.36186,-121.92901,31.93922388691831,25.929885629040278,27.514503563732802,2015-08-20
1240859,2015,2,14,6,VX,Virgin America,740,N640VA,SFO,SEA,08:00:00,07:56:00,-4.0,10.0,08:06:00,125.0,115.0,98.0,679,09:44:00,7.0,10:05:00,09:51:00,-14.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,Seattle-Tacoma International Airport,Seattle,WA,47.44898,-122.30931,37.954705151072915,32.84568142979208,33.873825121048135,2015-02-14
